"id","name","code","parent_id/id"
"vat","Struktura DDV","DDV",
"vat_0","Znesek osnov za DDV","vatbase","vat"
"vat_00","   -    odbitni DDV","vatbase_deduct","vat_0"
"vat_000","   -    izstopni DDV","vatbase_deduct_sale","vat_00"
"vat_0000","Prodaja oproščena DDV","vatbase_deduct_sale_0","vat_000"
"vat_0001","Prodaja po znižani stopnji DDV","vatbase_deduct_sale_low","vat_000"
"vat_0002","Prodaja po osnovni stopnji DDV","vatbase_deduct_sale_high","vat_000"
"vat_001","   -    vstopni DDV","vatbase_deduct_purchase","vat_00"
"vat_0010","Nabave oproščene DDV","vatbase_deduct_purchase_0","vat_001"
"vat_0011","Nabave po znižani stopnji DDV","vatbase_deduct_purchase_low","vat_001"
"vat_0012","Nabave po osnovni stopnji DDV","vatbase_deduct_purchase_high","vat_001"
"vat_01","   -    neodbitni DDV","vatbase_undeduct","vat_0"
"vat_010","   -    vstopni DDV","vatbase_undeduct_purchase","vat_01"
"vat_0100","Nabave po znižani stopnji DDV","vatbase_undeduct_purchase_low","vat_010"
"vat_0101","Nabave po osnovni stopnji DDV","vatbase_undeduct_purchase_high","vat_010"
"vat_1","Znesek DDV","vatsum","vat"
"vat_10","   -    odbitni DDV","vatsum_deduct","vat_1"
"vat_100","   -    izstopni DDV","vatsum_deduct_sale","vat_10"
"vat_1000","Izstopni DDV po znižani stopnji","vatsum_deduct_sale_low","vat_100"
"vat_1001","Izstopni DDV po osnovni stopnji","vatsum_deduct_sale_high","vat_100"
"vat_101","   -    vstopni DDV","vatsum_deduct_purchase","vat_10"
"vat_1010","Vstopni DDV po znižani stopnji","vatsum_deduct_purchase_low","vat_101"
"vat_1011","Vstopni DDV po osnovni stopnji","vatsum_deduct_purchase_high","vat_101"
"vat_11","   -    neodbitni DDV","vatsum_undeduct","vat_1"
"vat_110","   -    vstopni DDV","vatsum_undeduct_purchase","vat_11"
"vat_1100","Neodbitni DDV po znižani stopnji","vatsum_undeduct_purchase_low","vat_110"
"vat_1101","Neodbitni DDV po osnovni stopnji","vatsum_undeduct_purchase_high","vat_110"
